run,elapsed_seconds,peak_allocated_mib,inference_compilation_and_warmup_seconds,calibration_reference,teacher_and_fit_seconds,release_selection_seconds,calibration_query_selection_seconds,calibration_lineage_seconds,source_calibration_build_seconds,per_user_initial_backfill_ms,per_user_release_translate_ms,per_user_exact_build_ms,real_appends,translated_segments,measured_method_service_seconds,measured_exact_service_seconds,service_ratio_excluding_global_preparation,last_snapshot_auxiliary_bytes,source_view_bytes_reconstructed,second_moment_view_bytes_corrected
expanded_short_quality_canary_01,166.73087655939162,2319.8994140625,107.33127955812961,v6_refit64_01,17.772241737693548,0.0,0.0,5.326646742410958,3.2548978915438056,,,,5678,784,39.88085222803056,1.8951683873310685,21.043434712518632,,False,False
quality_only_reference_canary_01,17.690961154177785,2543.62548828125,0.0,v6_refit64_01,17.772241737693548,0.0,0.0,5.326646742410958,3.2548978915438056,,,,7291,479,1.2409840524196625,1.1243179272860289,1.1037661343844725,,False,False
v0_canary_01,19.152476103045046,2343.54736328125,0.0,v0_canary_01,1.0760716926306486,0.0,0.0,1.4510694332420826,0.1887770313769579,3.5809860564768314,0.6542112678289413,5.137662636116147,643,7401,3.179862879216671,2.141008423641324,1.485217360242102,919296.0,True,False
v0_score_01,99.62502629123628,3495.15576171875,0.0,v0_score_01,18.229792571626604,0.0,0.0,42.08728084899485,0.5078422958031297,3.6360034137032926,0.6418634438887239,5.225948872976005,2485,18214,10.476077154278755,7.876834106631577,1.3299857547410898,919296.0,True,False
v0_short_01,96.4652442438528,3495.125,0.0,v0_short_01,15.652720120735466,0.0,0.0,41.824326077476144,0.5022130822762847,3.569049120415002,0.6371579947881401,5.14014478540048,2485,18214,10.410803618840873,7.778786490671337,1.3383583199418017,919296.0,True,False
v1_cal128_01,451.61427976284176,7561.953125,0.0,v1_cal128_01,165.93939594179392,0.0,0.0,206.0773451430723,1.4879329726099968,3.6280023414292373,0.6324884780042339,5.212104908423498,4059,40875,17.93132572993636,12.862666231580079,1.3940597856696184,919296.0,True,False
v1_local_01,103.49086949508637,3495.15576171875,0.0,v1_local_01,18.402497661300004,0.0,0.0,44.763667336665094,0.5081091448664665,3.6607476649805903,0.6076268618926406,5.234061216469854,2485,1837,11.01361215300858,8.146332838572562,1.3519717854958695,919296.0,True,False
v2_functional128_01,354.8818380506709,7093.15966796875,0.0,v2_functional128_01,120.55741683300585,0.0,0.0,161.70948820374906,1.485070432536304,0.42906995804514736,0.5696783737221267,5.111245613079518,4059,3647,14.379424172453582,12.767214968800545,1.12627728189686,60488.0,False,False
v2_functional_canary_01,18.27976100705564,2341.2265625,0.0,v2_functional_canary_01,0.9989492734894156,0.0,0.0,1.1164885265752673,0.18758017010986805,0.6318034138530493,0.6220843642950058,5.158410407602787,643,7401,2.464658142067492,2.0655386205762625,1.1932278184079075,919296.0,False,False
v2_ridge128_01,263.15040905494243,7037.80810546875,0.0,v2_ridge128_01,30.40343235526234,0.0,0.0,159.69329504016787,1.483329363167286,0.4479167655517813,0.545897531992523,5.199311770411441,4059,3647,14.2516287881881,12.96743683051318,1.0990320581052022,60488.0,False,False
v2_ridge_adjacent128_01,261.4088492086157,8190.61181640625,0.0,v2_ridge_adjacent128_01,32.04794696159661,0.0,0.0,156.23389871791005,2.147450514137745,0.44428169348975644,0.5297782226989511,5.156131632247707,4059,3647,14.007408820092678,12.682833448983729,1.1044384424377256,60488.0,False,False
v2_ridge_cal512_probe_01,111.77992923371494,20586.25634765625,0.0,v2_ridge_cal512_probe_01,61.411190449260175,0.0,0.0,0.0,5.431192093528807,0.4344690387370065,0.47659519623266533,5.128733915626071,0,0,0.0,0.0,,60488.0,False,False
v2_ridge_canary_01,17.91731724049896,2338.62451171875,0.0,v2_ridge_canary_01,0.3413909589871764,0.0,0.0,1.1069449847564101,0.18502521142363548,0.4687393084168434,0.5542298313230276,5.165782757103443,643,646,2.4440917763859034,2.150756699964404,1.1363869174167185,60488.0,False,False
v2_ridge_rank128_probe_01,40.471003510057926,6738.32275390625,0.0,v2_ridge_rank128_probe_01,14.941617139615119,0.0,0.0,0.0,1.4859634665772319,0.4394502393552102,0.49075912102125585,5.157366467756219,0,0,0.0,0.0,,60488.0,False,False
v2_ridge_score128_01,329.8236216530204,8190.61181640625,0.0,v2_ridge_score128_01,92.95047337468714,0.0,0.0,162.4138725651428,2.148661241866648,0.4313099379942287,0.5134717794135213,5.119942237797659,4059,3647,14.468691867776215,13.24499145988375,1.0923896713409589,60488.0,False,False
v2_ridge_score_canary_01,21.39661179855466,2374.66552734375,0.0,v2_ridge_score_canary_01,2.015691703185439,0.0,0.0,3.1744498796761036,0.2384193455800414,0.5016050999984145,0.6077270954847336,5.243770661763847,643,646,2.3842263501137495,2.088683915324509,1.141496964964813,60488.0,False,False
v3_banded_quality128_01,53.48332565929741,5853.29248046875,0.0,v3_query_only128_01,30.396303527988493,0.0,0.0,127.14645825698972,2.172600382938981,0.5196397542022169,0.5723071881220676,5.277846186800161,106477,1394,9.022797388024628,8.784067676402628,1.0271775810952959,60488.0,False,False
v3_five_edge_canary_01,20.68759552575648,2398.39990234375,0.0,v3_five_edge_canary_01,1.8145094141364098,0.0,0.0,0.2118356190621853,0.294564925134182,0.43393983505666256,0.5944341886788607,5.117822205647826,5524,211,0.9922866281121969,0.8617752511054277,1.1514447958900629,60488.0,False,False
v3_five_edges512_01,552.115679923445,23338.462890625,0.0,v3_five_edges512_01,82.14900142140687,0.0,0.0,8.921721880324185,4.153595502488315,0.4800799022632418,0.6668884274404263,5.219374868829618,1053816,23759,102.35211548954248,96.70541643537581,1.0583907216607678,60488.0,False,False
v3_frozen_eval_canary_01,15.889921246096492,2302.58349609375,0.0,v3_query_only128_01,30.396303527988493,0.0,0.0,127.14645825698972,2.172600382938981,0.47880905913189054,0.59766776394099,5.255991301964968,643,31,1.9635535823181272,2.1607815893366933,0.9087237655152781,60488.0,False,False
v3_quality128_01,957.5808526752517,5582.00439453125,0.0,v3_query_only128_01,30.396303527988493,0.0,0.0,127.14645825698972,2.172600382938981,0.42700101766968146,0.5043207056587562,5.145070423168363,106477,1394,287.01007248740643,318.1956187803298,0.9019925339875509,60488.0,False,False
v3_query_only128_01,229.55223586875945,8190.84619140625,0.0,v3_query_only128_01,30.396303527988493,0.0,0.0,127.14645825698972,2.172600382938981,0.45356282862485386,0.5526050772459712,5.146299710759195,4059,79,11.774242162704468,13.124381298199296,0.8971274070130779,60488.0,False,False
v3_query_only_canary_01,19.14048226736486,2374.66552734375,0.0,v3_query_only_canary_01,0.6657451074570417,0.0,0.0,2.357395782135427,0.28253543470054865,0.4350176313892007,0.50559570081532,5.1011721370741725,643,31,1.836924497038126,2.024879745207727,0.9071770811997929,60488.0,False,False
v4_batch_canary_01,11.607755842618644,2633.1357421875,0.0,v4_batch_canary_01,0.9371784199029207,0.0,0.0,0.4258625013753772,0.34154254477471113,0.4751519300043583,0.6848502671346068,5.211009061895311,2485,89,0.3622024320065975,0.31434504967182875,1.1522447462898846,60488.0,False,False
v4_cal512_01,338.64927276596427,35467.64013671875,0.0,v4_cal512_01,167.361129662022,0.0,0.0,65.70188262034208,21.218880327418447,0.47544789413223043,0.7376351757557131,5.201214873522986,0,0,0.0,0.0,,60488.0,False,False
v4_cal512_quality512_01,435.07800143025815,17221.69482421875,0.0,v4_cal512_01,167.361129662022,0.0,0.0,65.70188262034208,21.218880327418447,0.4614773268258432,0.730818067677319,5.147013809619239,1053816,34469,101.44680746924132,93.98753671348095,1.0793644669984255,60488.0,False,False
v4_full_history512_01,621.9169955644757,26865.82421875,0.0,v4_full_history512_01,130.6190240867436,0.0,0.0,41.581383775919676,8.964916091412306,0.4706445546617033,0.7342753691773396,5.202115229985793,1053816,34469,99.29441359825432,92.3217171439901,1.0755260698129046,60488.0,False,False
v4_full_history_canary_01,12.27436606027186,2587.77392578125,0.0,v4_full_history_canary_01,1.3518935516476631,0.0,0.0,0.4208173220977187,0.30574106611311436,0.43491541873663664,0.6077116122469306,5.127099226228893,2485,89,0.36058367043733597,0.31246143486350775,1.1540101599893422,60488.0,False,False
v4_prepare_canary_01,11.485525007359684,2629.57470703125,0.0,v4_prepare_canary_01,0.7161803040653467,0.0,0.0,0.42214967403560877,0.3410228369757533,0.46113808639347553,0.6580639164894819,5.205837078392506,2485,89,0.35842801351100206,0.3130358085036278,1.14500642985337,60488.0,False,False
v4_release_batch_canary_01,10.214650800451636,2311.892578125,0.0,v4_cal512_01,167.361129662022,0.0,0.0,65.70188262034208,21.218880327418447,0.44195924419909716,0.6244512042030692,5.176078877411783,2485,89,0.36587479058653116,0.31832452211529016,1.1493767057443955,60488.0,False,False
v4_score512_01,438.1654860107228,35417.89794921875,0.0,v4_score512_01,266.44479433912784,0.0,0.0,65.40264152456075,21.28820760641247,0.48300259659299627,0.73489714122843,5.219706484058406,0,0,0.0,0.0,,60488.0,False,False
v4_score_canary_01,12.579971774481237,2629.58349609375,0.0,v4_score_canary_01,1.9092396115884185,0.0,0.0,0.4310112548992038,0.3395349383354187,0.47485658433288336,0.6844012532383204,5.2336250664666295,2485,89,0.3659375961869955,0.3190710889175534,1.1468842176470342,60488.0,False,False
v5_batch_prefix_canary_02,11.406758528202772,2755.49072265625,0.0,v5_batch_prefix_canary_02,0.571179342456162,0.0,0.0,0.2025835420936346,0.30426517128944397,0.37588365375995636,0.7952151354402304,5.222603562287986,2485,89,0.33012933656573296,0.29608286172151566,1.1149896844628586,207948.0,False,False
v5_budget64_01,72.98114323616028,9173.72607421875,0.0,v5_budget64_01,17.675305416807532,0.0,0.0,5.259307129308581,3.2519162679091096,0.18840310804080218,0.8994067044113763,5.190558798494749,0,0,0.0,0.0,,207948.0,False,False
v5_budget64_quality512_01,408.63529273308814,18652.89111328125,45.04133140668273,v5_budget64_01,17.675305416807532,0.0,0.0,5.259307129308581,3.2519162679091096,0.21689745444746222,0.8892099111108109,5.179421376669779,1053816,34469,68.66263444814831,72.02581695653498,0.9533058748862754,207948.0,False,False
v5_budget_canary_01,11.442995234392583,2755.49072265625,0.0,v5_budget_canary_01,0.5536135723814368,0.0,0.0,0.21899456530809402,0.3033321602270007,0.2182823373004794,0.8013558108359575,5.187728209421039,2485,89,0.3612433886155486,0.32691072579473257,1.1050215245686785,207948.0,False,False
v5_compiled_canary_01,183.16813559271395,2312.30712890625,121.18863492459059,v5_efficient512_01,38.795504407957196,0.0,0.0,15.662245196290314,9.007965547963977,0.4122609971091151,0.8173501119017601,5.219480488449335,2485,89,37.330398042686284,0.3735591107979417,99.93170281122742,207948.0,False,False
